State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Chhattisgarh,Bilaspur,3 Star,Without Alcohol,Hotel Intercity International,Jagmal Chowk,39
Chhattisgarh,Bilaspur,3 Star,Without Alcohol,THE EMERALD,"NEAR OLD BUS STAND,TELEPHONE EXCHANGE ROAD,",22
Chhattisgarh,Durg-Bhilai Nagar,3 Star,Without Alcohol,Hotel Ashish International,"G.E Road, Power House",17
Chhattisgarh,Durg-Bhilai Nagar,3 Star,Without Alcohol,Hotel Grand Dhillon,"A-1 Nehru Parisar , Nehru Nagar Square GE Road Bhilai ",39
Chhattisgarh,Korba,3 Star,Without Alcohol,hotel relax inn,korba champa road urga,42
Chhattisgarh,Raigarh,3 Star,Without Alcohol,Hotel Accordd Premier (ACCORDD Chain of Hotels),Hotel Accordd Premier Jagatpur Dhimrapur Road Raigarh Raigarh,35
Chhattisgarh,Raigarh,3 Star,Without Alcohol,Hotel Ans International,"Jagatpur - Dhimrapur Road ,Raigarh, Chattisgarh Raigarh Raigarh",71
Chhattisgarh,Raipur*,3 Star,Without Alcohol,GREENWOOD FOURSEASONS ,"GREENWOOD FOURSEASONS, VIP ROAD, PURENA, ",15
Chhattisgarh,Raipur*,3 Star,Without Alcohol,HOTEL GAGAN REGENCY,"OPP. GATE NO. 1, AIIMS, G. E. ROAD, TATIBANDH, RAIPUR (C.G.) PIN 492001 ",26
Chhattisgarh,Raipur*,3 Star,Without Alcohol,HOTEL IVY,"PRIYADARSHINI NAGAR, NEAR PACHPEDI NAKA",38
Chhattisgarh,Raipur*,3 Star,Without Alcohol,HOTEL KINGSWAY,RING ROAD NO. 1 NEAR AIRTEL OFFICE TELIBANDHA RAIPUR ,30
Chhattisgarh,Raipur*,3 Star,Without Alcohol,HOTEL SOLITAIRE ( A UNIT OF R.R.S.K.ENTERPRISES),"BEHIND STATE BANK OF INDIA MAIN BRANCH,ANAND TAKIES ROAD,NEAR JAISTAMBH CHOWK,RAIPUR (C.G.)",48
Chhattisgarh,Raipur*,3 Star,Without Alcohol,HOTEL THE GOLDEN OAK,"J.B. MALL NEAR GURUNANAK CHOWK M. G. ROAD, RAIPUR",28
Chhattisgarh,Raipur*,3 Star,Without Alcohol,RMV RESORT AND HOTELS PVT LTD,"HOTEL VW CANYON, NEAR - AGRASEN DHAM, VIP ROAD - II, PHUNDAHAR, RAIPUR - 492006, CHHATTISHGARH",111
Chhattisgarh,Rajnandgaon,3 Star,Without Alcohol,Hotel Awana,"Near New Gurudwara, GE Road, Rajnandgoan Rajnandgaon",15
Delhi,New Delhi,3 Star,Without Alcohol,HOTEL THE MANOR,77 FREINDS COLONY (W) NEW DELHI- 110065,12
Goa,Margao,3 Star,Without Alcohol,Hotel Nanutel Margao,Padre Miranda Road,55
Goa,vasco da gama,3 Star,Without Alcohol,Hotel La Paz Gardens (A unit of Hotel La Paz Gardens Pvt. Ltd.),"Swatantra Path, Vasco da Gama vasco da gama vasco da gama",73
